MAT_ALU;DAT_ENTRADA;COD_CURSO;COTISTA;NOME
1351;13/01/2019;6;S;Luiz Otávio Novaes
1352;04/01/2019;4;S;Maria Fernanda Oliveira
1353;25/01/2019;5;N;Enrico da Cruz
1354;03/01/2019;4;N;Eloah Moura
1355;15/01/2019;4;S;Murilo Campos
1356;10/01/2019;5;N;Emanuel Barbosa
1357;18/01/2019;1;S;Luiz Gustavo Campos
1358;03/01/2019;5;N;Enzo Gabriel Ribeiro
1359;15/01/2019;2;S;Ana Vitória Rocha
1360;07/01/2019;1;N;João Lucas Souza
1361;23/01/2019;3;N;João Felipe Moraes
1362;02/01/2019;4;S;Alana Melo
1363;18/01/2019;1;N;Agatha Martins
1364;07/01/2019;1;N;Samuel Teixeira
1365;25/01/2019;5;N;Leonardo Rezende
1366;31/01/2019;4;S;Rebeca Nunes
1367;03/01/2019;4;S;Lavínia Souza
1368;28/01/2019;2;S;Mariana Barros
1369;29/01/2019;3;N;Ana Lívia Teixeira
1370;05/01/2019;5;N;Kevin Rodrigues
1371;14/01/2019;6;N;Amanda da Luz
1372;12/01/2019;6;S;Alice Moreira
1373;19/01/2019;2;S;Bianca Farias
1374;04/01/2019;6;N;Davi Lima
1375;27/01/2019;1;N;Pedro Miguel Gomes
1376;08/01/2019;4;S;Pedro Teixeira
1377;09/01/2019;3;S;Diego Sales
1378;04/01/2019;6;S;Catarina Rodrigues
1379;16/01/2019;4;N;Eduarda Moura
1380;14/01/2019;1;N;Dra. Raquel Gonçalves
1381;04/01/2019;3;S;Miguel da Luz
1382;23/01/2019;5;S;Esther Rezende
1383;21/01/2019;6;N;Arthur Viana
1384;01/01/2019;6;S;Daniela Martins
1385;17/01/2019;1;S;Thomas Silveira
1386;03/01/2019;5;S;Dra. Maria Alice da Paz
1387;19/01/2019;5;N;Yago Mendes
1388;19/01/2019;4;S;Kaique Moreira
1389;10/01/2019;5;N;Luiz Miguel da Costa
1390;09/01/2019;6;S;Gabrielly Moura
1391;17/01/2019;6;N;Diogo da Paz
1392;12/01/2019;3;S;Clarice Rezende
1393;14/01/2019;3;N;Gabrielly da Costa
1394;15/01/2019;1;S;Dra. Joana da Cunha
1395;08/01/2019;3;S;Nathan Novaes
1396;04/01/2019;5;N;Vitor Moraes
1397;24/01/2019;4;N;Mirella Costa
1398;04/01/2019;5;S;Vitória Costa
1399;24/01/2019;1;S;Gabriela Pinto
1400;23/01/2019;3;N;Beatriz da Cruz
1401;26/01/2019;3;S;Elisa Monteiro
1402;19/01/2019;6;N;Júlia Farias
1403;28/01/2019;5;S;João Felipe Mendes
1404;30/01/2019;4;S;Vitor Sales
1405;09/01/2019;2;S;Dr. João Moraes
1406;03/01/2019;5;N;João Vitor Carvalho
1407;21/01/2019;1;S;Juan da Rocha
1408;11/01/2019;5;N;João Guilherme Dias
1409;17/01/2019;3;N;Brenda Aragão
1410;09/01/2019;3;N;Luiz Felipe Nascimento
1411;01/01/2019;3;N;Ana Beatriz Vieira
1412;19/01/2019;2;S;Vicente Cardoso
1413;27/01/2019;4;N;Maria Alves
1414;11/01/2019;6;S;Enzo Gabriel Gomes
1415;19/01/2019;5;N;Isabella Pereira
1416;06/01/2019;2;N;Luigi Carvalho
1417;18/01/2019;1;S;Dr. Alexandre Cardoso
1418;05/01/2019;2;S;Luana Cardoso
1419;10/01/2019;6;N;Dra. Marina Oliveira
1420;31/01/2019;4;N;Emanuelly Novaes
1421;13/01/2019;2;S;Rebeca Costa
1422;21/01/2019;6;N;Mirella Nogueira
1423;04/01/2019;6;N;Felipe Gonçalves
1424;22/01/2019;3;N;Bryan Nogueira
1425;17/01/2019;6;N;Eduardo Cunha
1426;28/01/2019;6;S;Dr. Lucca da Rosa
1427;09/01/2019;3;S;Luiza Ferreira
1428;30/01/2019;6;N;Otávio Ferreira
1429;25/01/2019;6;N;Ana Melo
1430;31/01/2019;4;N;Marina Rodrigues
1431;06/01/2019;4;S;Isadora Santos
1432;07/01/2019;1;S;Letícia Rocha
1433;27/01/2019;4;S;Luiz Otávio Araújo
1434;21/01/2019;2;N;Caroline Castro
1435;09/01/2019;1;S;Heloísa Araújo
1436;24/01/2019;1;N;Caio Viana
1437;06/01/2019;6;S;Mariana Nascimento
1438;09/01/2019;1;N;Bruna Costa
1439;07/01/2019;3;N;Benjamin Carvalho
1440;30/01/2019;4;S;Cauã da Rosa
1441;08/01/2019;1;S;Ana Vitória Barros
1442;17/01/2019;2;N;Augusto Novaes
1443;08/01/2019;5;N;Luiza da Mata
1444;31/01/2019;4;S;Dra. Lavínia Costa
1445;13/01/2019;3;N;Matheus Barros
1446;05/01/2019;3;N;Dra. Maria Julia Barros
1447;04/01/2019;1;N;Danilo Oliveira
1448;12/01/2019;5;N;Ana Carolina Alves
1449;10/01/2019;4;S;Alexia Martins
1450;19/01/2019;2;S;Maria Clara Silva
1451;13/01/2019;1;S;Caio Moura
1452;24/01/2019;3;N;Luigi Caldeira
1453;03/01/2019;3;S;Cecília Dias
1454;07/01/2019;1;N;Miguel Castro
1455;21/01/2019;2;S;Thiago Rocha
1456;26/01/2019;3;S;Luna Oliveira
1457;26/01/2019;6;S;Esther Santos
1458;07/01/2019;1;S;Dra. Mariana Almeida
1459;30/01/2019;6;S;Dra. Joana da Luz
1460;10/01/2019;3;S;Dra. Maria Cecília Teixeira
1461;19/01/2019;4;S;Dr. Alexandre Campos
1462;30/01/2019;4;N;Murilo Lopes
1463;31/01/2019;6;N;Alícia Teixeira
1464;04/01/2019;4;N;Dra. Maria Sophia Cunha
1465;13/01/2019;4;S;Henrique Ribeiro
1466;25/01/2019;3;N;Enzo Ramos
1467;25/01/2019;2;N;Ana Julia Fogaça
1468;11/01/2019;4;N;Luiz Henrique Souza
1469;24/01/2019;5;N;Natália Nogueira
1470;26/01/2019;3;S;Caroline da Costa
1471;22/01/2019;5;S;Stella Fogaça
1472;20/01/2019;4;S;Ana Vitória da Luz
1473;15/01/2019;1;S;Dra. Lívia Carvalho
1474;25/01/2019;6;S;Paulo Jesus
1475;04/01/2019;3;N;Ana Júlia da Cunha
1476;15/01/2019;2;N;Heitor Jesus
1477;16/01/2019;3;N;Antônio da Rocha
1478;19/01/2019;1;S;Felipe Nascimento
1479;23/01/2019;1;S;Giovanna da Paz
1480;15/01/2019;4;N;Breno Moura
1481;30/01/2019;5;N;Sophie Monteiro
1482;31/01/2019;1;S;Laís Sales
1483;03/01/2019;2;S;Davi Lucas Pinto
1484;16/01/2019;2;S;Luna Nunes
1485;25/01/2019;2;S;Maria Sophia Fogaça
1486;01/01/2019;4;N;Dr. Leonardo da Paz
1487;19/01/2019;2;N;Vitor Hugo da Cruz
1488;11/01/2019;5;N;Enzo Gabriel Gonçalves
1489;01/01/2019;1;N;Bianca Silveira
1490;28/01/2019;1;S;Leonardo Duarte
1491;03/01/2019;5;N;Olivia Peixoto
1492;22/01/2019;2;N;Leonardo Farias
1493;13/01/2019;4;S;Juliana Nunes
1494;19/01/2019;3;S;Isis da Cruz
1495;15/01/2019;5;S;Maria Cecília Fogaça
1496;21/01/2019;4;N;Marina Moreira
1497;27/01/2019;3;N;Luna Rodrigues
1498;23/01/2019;2;N;Yago Correia
1499;25/01/2019;4;S;João Gabriel Nogueira
1500;01/01/2019;4;S;Raul Moreira
1501;10/01/2019;5;N;Davi Lucca Pinto
1502;16/01/2019;1;S;Dr. Eduardo Ribeiro
1503;25/01/2019;3;N;Joana Novaes
1504;27/01/2019;2;S;Joana Cardoso
1505;13/01/2019;2;N;Nina da Mata
1506;07/01/2019;2;N;Bryan Sales
1507;04/01/2019;5;S;Breno da Costa
1508;01/01/2019;1;S;Gabrielly da Cruz
1509;20/01/2019;1;N;Giovanna Lopes
1510;02/01/2019;6;N;Luiz Felipe Vieira
1511;29/01/2019;5;S;Henrique Caldeira
1512;29/01/2019;6;S;Dr. Isaac Rodrigues
1513;10/01/2019;3;N;Kaique Cardoso
1514;07/01/2019;2;N;Maria Julia Pereira
1515;20/01/2019;1;S;Valentina Porto
1516;21/01/2019;3;S;Calebe da Paz
1517;27/01/2019;1;N;Bruno da Rocha
1518;17/01/2019;4;S;Alícia Gonçalves
1519;30/01/2019;3;N;Leandro Melo
1520;23/01/2019;6;S;Maria Clara Jesus
1521;02/01/2019;3;N;Cauê Costa
1522;03/01/2019;6;N;Alexia Moraes
1523;30/01/2019;5;S;Lucas Gabriel Dias
1524;08/01/2019;6;S;Rebeca Campos
1525;06/01/2019;6;S;Caroline Ramos
1526;08/01/2019;4;S;Gabriel Castro
1527;28/01/2019;1;S;Dr. Leonardo Correia
1528;04/01/2019;3;N;Dra. Ana Clara Lopes
1529;17/01/2019;3;N;Maria Alice Rocha
1530;29/01/2019;4;S;Vitor Hugo Aragão
1531;14/01/2019;2;N;Kevin Pires
1532;09/01/2019;6;N;Breno Barros
1533;10/01/2019;6;S;João Miguel Ribeiro
1534;20/01/2019;1;N;Stephany Oliveira
1535;04/01/2019;3;S;Rafael Almeida
1536;04/01/2019;3;N;Bárbara Monteiro
1537;28/01/2019;3;S;Ian Porto
1538;16/01/2019;2;N;Pietro Souza
1539;11/01/2019;2;N;Maria Clara Ferreira
1540;04/01/2019;3;N;Pedro da Luz
1541;31/01/2019;4;S;Emilly Gonçalves
1542;29/01/2019;4;S;Amanda Dias
1543;30/01/2019;3;N;Henrique Novaes
1544;04/01/2019;6;S;Stella Pereira
1545;03/01/2019;6;N;Julia Almeida
1546;31/01/2019;5;N;Yuri Cunha
1547;06/01/2019;4;N;Catarina Sales
1548;14/01/2019;4;S;Esther Rocha
1549;17/01/2019;5;S;Marcos Vinicius Monteiro
1550;18/01/2019;4;N;Thales Moreira
1551;14/01/2019;1;N;Vicente Cunha
1552;09/01/2019;1;N;João Guilherme das Neves
1553;20/01/2019;2;S;Catarina da Paz
1554;22/01/2019;5;N;Larissa Gonçalves
1555;08/01/2019;6;S;Bernardo da Paz
1556;07/01/2019;6;S;Dra. Beatriz Moraes
1557;03/01/2019;4;S;Alexia Castro
1558;30/01/2019;1;N;Renan Rezende
1559;31/01/2019;1;N;Vitor Campos
1560;09/01/2019;5;S;Mariane Nunes
1561;28/01/2019;5;S;Isis da Luz
1562;23/01/2019;5;N;Manuela Silva
1563;13/01/2019;4;N;Gabrielly Fernandes
1564;25/01/2019;2;N;Evelyn Souza
1565;23/01/2019;2;N;João Lucas Cunha
1566;22/01/2019;5;S;Emanuelly Gomes
1567;02/01/2019;1;N;Benício da Cunha
1568;25/01/2019;2;N;Eloah Pereira
1569;11/01/2019;6;N;Dr. Enrico Barros
1570;26/01/2019;5;S;Alana das Neves
1571;27/01/2019;1;S;Rafael Souza
1572;05/01/2019;6;N;João Felipe Ramos
1573;23/01/2019;1;N;Henrique Cavalcanti
1574;19/01/2019;1;N;Dra. Bianca Lopes
1575;05/01/2019;5;N;Brenda Porto
1576;06/01/2019;1;N;Sofia Monteiro
1577;02/01/2019;3;S;Breno Mendes
1578;06/01/2019;2;S;Thiago Santos
1579;03/01/2019;3;S;Isabelly Moraes
1580;31/01/2019;2;N;Dr. Thales Lopes
1581;11/01/2019;5;N;Raul Melo
1582;12/01/2019;1;N;Larissa Freitas
1583;01/01/2019;4;N;Isabelly Ferreira
1584;12/01/2019;1;S;Bruno Novaes
1585;24/01/2019;4;N;Ana Lívia Cunha
1586;18/01/2019;4;N;Leandro Moreira
1587;22/01/2019;3;N;Eduarda Melo
1588;30/01/2019;5;N;Yasmin Barbosa
1589;23/01/2019;6;S;Raul da Luz
1590;22/01/2019;1;S;Otávio Cavalcanti
1591;07/01/2019;4;S;Thomas Oliveira
1592;31/01/2019;4;N;Alana da Paz
1593;30/01/2019;3;N;Maria Clara Cavalcanti
1594;03/01/2019;1;S;Maria Sophia Campos
1595;04/01/2019;4;S;Luiza Martins
1596;10/01/2019;5;S;Eduarda Barbosa
1597;16/01/2019;4;S;Pietra Fernandes
1598;22/01/2019;4;S;Marcos Vinicius Cunha
1599;16/01/2019;6;S;Ana Sophia da Cruz
1600;07/01/2019;6;S;Carolina Pires
1601;14/01/2019;3;N;Isaac Moraes
1602;21/01/2019;6;N;Maria Alice Silva
1603;20/01/2019;3;S;Eduarda Souza
1604;19/01/2019;2;N;Caroline da Rocha
1605;24/01/2019;1;N;Emilly Barros
1606;22/01/2019;5;N;Davi Pinto
1607;25/01/2019;4;N;Letícia Oliveira
1608;02/01/2019;6;N;Emanuelly Lopes
1609;12/01/2019;3;S;Melissa Monteiro
1610;30/01/2019;5;N;Enrico Pinto
1611;14/01/2019;3;N;Ana Pires
1612;24/01/2019;6;N;Camila Martins
1613;21/01/2019;6;N;Pedro Gomes
1614;22/01/2019;2;N;Elisa Correia
1615;12/01/2019;1;S;Ana Carolina da Luz
1616;11/01/2019;4;N;Camila Gomes
1617;05/01/2019;3;N;Cauê Rocha
1618;25/01/2019;3;S;Eloah Nogueira
1619;07/01/2019;1;S;Raul Farias
1620;05/01/2019;4;S;Alexandre Cardoso
1621;02/01/2019;6;S;Luana Rodrigues
1622;19/01/2019;5;S;João Guilherme Costa
1623;20/01/2019;2;S;Luna Rezende
1624;10/01/2019;6;S;Samuel da Mota
1625;16/01/2019;3;S;Davi Luiz Sales
1626;10/01/2019;4;S;Valentina Dias
1627;18/01/2019;1;S;Melissa Cardoso
1628;28/01/2019;6;S;Levi Silveira
1629;04/01/2019;5;N;Murilo Jesus
1630;08/01/2019;2;N;Elisa Melo
1631;31/01/2019;3;N;Dra. Catarina da Cunha
1632;13/01/2019;5;S;Cauê Rodrigues
1633;31/01/2019;3;S;Marina Fernandes
1634;14/01/2019;6;S;Isaac Pinto
1635;22/01/2019;2;S;Carolina Oliveira
1636;02/01/2019;2;N;Thiago Pereira
1637;04/01/2019;5;S;Beatriz Silva
1638;02/01/2019;6;S;Anthony da Paz
1639;13/01/2019;3;N;Maria Sophia Sales
1640;26/01/2019;2;S;Evelyn Gomes
1641;22/01/2019;5;N;Milena Melo
1642;06/01/2019;1;S;Bernardo Sales
1643;11/01/2019;6;S;Valentina Freitas
1644;28/01/2019;3;N;Anthony Ferreira
1645;12/01/2019;1;S;Joaquim Rezende
1646;13/01/2019;4;S;Rafael Souza
1647;11/01/2019;4;S;Ana Luiza Porto
1648;18/01/2019;1;S;Catarina Rocha
1649;17/01/2019;3;S;Igor da Mota
1650;08/01/2019;1;N;Thiago Nogueira
1651;28/01/2019;2;N;Levi Campos
1652;14/01/2019;5;S;Anthony Ribeiro
1653;20/01/2019;2;N;Vitória Cardoso
1654;05/01/2019;6;S;Vitor Gabriel Nascimento
1655;27/01/2019;6;N;Henrique Vieira
1656;09/01/2019;4;S;Lucas Ramos
1657;29/01/2019;6;N;Rafaela Teixeira
1658;11/01/2019;3;N;Enrico Cunha
1659;22/01/2019;5;S;Julia Freitas
1660;06/01/2019;3;N;Ana Sophia Azevedo
1661;06/01/2019;1;S;Francisco Azevedo
1662;16/01/2019;1;N;Maria Eduarda Melo
1663;11/01/2019;5;S;Matheus da Luz
1664;01/01/2019;5;S;Lucca da Luz
1665;23/01/2019;4;N;Vitor Gabriel Campos
1666;30/01/2019;1;N;Lucca Dias
1667;24/01/2019;5;N;Vicente da Rosa
1668;09/01/2019;1;N;Bernardo Caldeira
1669;14/01/2019;1;S;Gabriela Souza
1670;10/01/2019;2;N;Clarice Vieira
1671;30/01/2019;1;N;Dra. Yasmin Dias
1672;03/01/2019;2;S;Dr. Rafael Aragão
1673;08/01/2019;4;S;Yago da Paz
1674;27/01/2019;1;S;Diego da Cunha
1675;29/01/2019;3;S;Bryan Novaes
1676;20/01/2019;4;S;Gabriel Silva
1677;06/01/2019;3;S;João Gabriel Ribeiro
1678;02/01/2019;2;N;Pedro Henrique Ferreira
1679;13/01/2019;1;N;Emanuella da Paz
1680;24/01/2019;3;S;Ana Luiza da Rosa
1681;20/01/2019;1;S;Maitê Moura
1682;16/01/2019;5;N;Ana Vitória Lima
1683;09/01/2019;3;S;Miguel Nascimento
1684;03/01/2019;6;S;Davi Vieira
1685;17/01/2019;1;S;Calebe Caldeira
1686;10/01/2019;3;N;Isabella Porto
1687;06/01/2019;3;N;Maria Alice Campos
1688;16/01/2019;2;N;Ana Lívia da Cruz
1689;15/01/2019;6;N;Leonardo Lima
1690;12/01/2019;5;N;Ana Clara Martins
1691;11/01/2019;6;S;Isis Rezende
1692;31/01/2019;4;S;Benjamin da Paz
1693;15/01/2019;6;N;Matheus Nunes
1694;21/01/2019;3;S;Alana Pinto
1695;20/01/2019;3;S;Dra. Sabrina Jesus
1696;19/01/2019;5;N;Dr. Thales Azevedo
1697;02/01/2019;3;N;Heloísa Azevedo
1698;30/01/2019;2;N;Antônio Nunes
1699;08/01/2019;2;N;Ana Clara Almeida
1700;03/01/2019;3;S;Isabella Porto
1701;24/01/2019;3;N;Ana Clara Fogaça
1702;07/01/2019;2;S;Samuel da Costa
1703;09/01/2019;3;N;Lucas Gabriel Moura
1704;22/01/2019;5;S;Maria Vitória Alves
1705;21/01/2019;5;N;Julia da Costa
1706;24/01/2019;1;N;Yuri Viana
1707;09/01/2019;5;N;Guilherme Silva
1708;27/01/2019;3;N;Vitor Hugo Melo
1709;22/01/2019;3;N;João Pedro Moraes
1710;15/01/2019;3;N;Marina da Luz
1711;03/01/2019;5;N;Eduardo Rocha
1712;19/01/2019;4;S;Emanuelly Carvalho
1713;25/01/2019;2;S;Erick Rezende
1714;19/01/2019;3;N;Leandro Carvalho
1715;19/01/2019;6;S;Rebeca Freitas
1716;06/01/2019;3;N;Eduardo da Conceição
1717;22/01/2019;2;S;Marina Novaes
1718;20/01/2019;5;S;Breno Sales
1719;13/01/2019;2;N;Raul Cunha
1720;27/01/2019;3;N;Cecília Jesus
1721;29/01/2019;3;N;Alexandre Azevedo
1722;08/01/2019;1;N;Nathan Lopes
1723;16/01/2019;3;N;Mariana Melo
1724;18/01/2019;2;N;Enrico Alves
1725;31/01/2019;4;S;Maria Fernanda Caldeira
1726;08/01/2019;5;S;Lucas Gonçalves
1727;10/01/2019;2;S;Olivia Viana
1728;03/01/2019;6;S;Dra. Lorena Aragão
1729;10/01/2019;2;S;Lorena da Luz
1730;01/01/2019;3;N;Rafaela Alves
1731;26/01/2019;6;S;Vicente Dias
1732;18/01/2019;6;N;Dr. Fernando da Costa
1733;23/01/2019;6;S;Noah Farias
1734;21/01/2019;4;N;Thales Rocha
1735;28/01/2019;2;N;Thomas Oliveira
1736;08/01/2019;4;N;Brenda da Cruz
1737;13/01/2019;3;N;Calebe da Paz
1738;03/01/2019;3;N;Heloísa Azevedo
1739;02/01/2019;5;N;Augusto Rodrigues
1740;27/01/2019;2;N;João Miguel Nogueira
1741;23/01/2019;3;S;Bianca Mendes
1742;22/01/2019;4;N;Elisa Silva
1743;29/01/2019;6;S;Olivia Cunha
1744;14/01/2019;6;N;Luiz Felipe Nogueira
1745;22/01/2019;2;S;Ana Carolina da Conceição
1746;17/01/2019;2;S;Benjamin Sales
1747;16/01/2019;2;S;Ana da Cruz
1748;31/01/2019;4;S;Yuri da Costa
1749;11/01/2019;1;S;Rafaela Cavalcanti
1750;08/01/2019;2;S;Emanuelly Moraes
1751;23/01/2019;4;S;Vitor Gabriel Teixeira
1752;02/01/2019;3;S;Vitor Hugo Melo
1753;28/01/2019;5;N;Alexia Rezende
1754;09/01/2019;1;N;Lucas Gabriel Caldeira
1755;15/01/2019;1;S;Valentina Cavalcanti
1756;09/01/2019;2;N;Dra. Pietra Nogueira
1757;23/01/2019;5;S;Antônio da Costa
1758;16/01/2019;5;N;Evelyn Aragão
1759;07/01/2019;4;N;João Gabriel Ferreira
1760;17/01/2019;4;S;Dra. Sophia Fernandes
1761;18/01/2019;5;N;Davi Lucca Cardoso
1762;21/01/2019;4;S;Juliana Melo
1763;10/01/2019;1;S;Ana Clara Teixeira
1764;28/01/2019;3;N;Manuela Cardoso
1765;23/01/2019;5;N;Dr. Nicolas Aragão
1766;08/01/2019;3;S;Luigi Dias
1767;11/01/2019;4;N;Lucca Rezende
1768;14/01/2019;4;N;Luiz Fernando Pires
1769;05/01/2019;3;N;Gabriel Moraes
1770;20/01/2019;2;N;Ana Julia Ribeiro
1771;04/01/2019;4;N;Alice Freitas
1772;06/01/2019;5;S;João Felipe Alves
1773;18/01/2019;2;N;Cauê Rezende
1774;05/01/2019;5;S;Maria Cecília da Rosa
1775;01/01/2019;2;N;Cecília da Paz
1776;28/01/2019;4;N;Alana Cardoso
1777;04/01/2019;3;N;Samuel Almeida
1778;20/01/2019;5;N;Luiz Miguel da Cunha
1779;22/01/2019;4;N;João Miguel Viana
1780;11/01/2019;5;N;Ian Cunha
1781;20/01/2019;4;S;Maria Alice Fernandes
1782;04/01/2019;5;N;Ian Rodrigues
1783;07/01/2019;5;N;Samuel Porto
1784;26/01/2019;1;N;Luiz Otávio Rodrigues
1785;27/01/2019;5;N;Dra. Helena Nogueira
1786;02/01/2019;6;S;Maria Fernanda Carvalho
1787;17/01/2019;4;S;Maria Cecília Pinto
1788;11/01/2019;2;N;Joana Porto
1789;11/01/2019;4;S;Gabrielly da Cruz
1790;14/01/2019;1;S;Marcelo Farias
1791;20/01/2019;5;S;Maria Luiza Ramos
1792;29/01/2019;1;N;Juliana Oliveira
1793;09/01/2019;2;N;Ana Júlia das Neves
1794;07/01/2019;4;N;Vicente Pinto
1795;03/01/2019;3;N;Luna Viana
1796;23/01/2019;4;N;Maysa da Paz
1797;18/01/2019;2;N;Benício Fogaça
1798;17/01/2019;1;N;Pedro da Cruz
1799;13/01/2019;2;S;Julia Azevedo
1800;28/01/2019;3;S;Dr. Breno Lima
1801;22/01/2019;1;S;Lívia Pereira
1802;07/01/2019;5;S;Dr. Lorenzo Moraes
1803;09/01/2019;6;N;Valentina Fogaça
1804;29/01/2019;5;S;Davi Lucas Vieira
1805;06/01/2019;3;S;Luna Martins
1806;30/01/2019;4;S;Dr. Gustavo Henrique Barbosa
1807;06/01/2019;3;N;Alexandre Santos
1808;16/01/2019;3;N;Milena Vieira
1809;01/01/2019;3;N;João Gabriel Rezende
1810;14/01/2019;4;S;Caio Rocha
1811;03/01/2019;1;S;Pietra Peixoto
1812;24/01/2019;2;S;Marcela da Costa
1813;11/01/2019;3;N;Maria Alice Nogueira
1814;12/01/2019;3;N;Breno da Cunha
1815;29/01/2019;5;S;Caroline Barbosa
1816;14/01/2019;4;N;Anthony Silveira
1817;30/01/2019;4;S;Gustavo Nogueira
1818;10/01/2019;4;N;Ana Lívia Moura
1819;30/01/2019;4;S;Pedro Lucas Moura
1820;27/01/2019;2;N;Luiz Miguel Carvalho
1821;07/01/2019;2;S;Juan Ferreira
1822;24/01/2019;3;S;Marcela Cardoso
1823;11/01/2019;5;N;Dra. Isabel Cunha
1824;10/01/2019;2;N;Sofia Santos
1825;05/01/2019;1;N;Marina Ramos
1826;16/01/2019;5;S;Caio Mendes
1827;08/01/2019;4;N;Felipe Viana
1828;18/01/2019;2;S;Guilherme Viana
1829;09/01/2019;5;S;Gustavo Freitas
1830;21/01/2019;1;S;Alexandre Barbosa
1831;16/01/2019;6;N;Heloísa da Cunha
1832;27/01/2019;5;S;Miguel Barbosa
1833;14/01/2019;3;N;Raquel Nunes
1834;10/01/2019;3;N;Maria Alice da Rosa
1835;15/01/2019;5;N;Gabriela Porto
1836;04/01/2019;4;N;Maria Sophia Dias
1837;19/01/2019;5;S;Marcos Vinicius Cardoso
1838;03/01/2019;6;S;Danilo Nogueira
1839;18/01/2019;5;N;Daniela Souza
1840;24/01/2019;3;N;Rodrigo Barbosa
1841;24/01/2019;5;S;Luna Teixeira
1842;25/01/2019;2;S;Breno Jesus
1843;25/01/2019;3;N;Ana Clara Teixeira
1844;24/01/2019;1;S;Ana Souza
1845;26/01/2019;1;N;Alexandre Teixeira
1846;08/01/2019;4;N;Marcelo Alves
1847;30/01/2019;6;S;Bianca Ferreira
1848;11/01/2019;4;S;Davi Costa
1849;15/01/2019;2;S;Camila da Paz
1850;28/01/2019;3;S;Sabrina Fogaça
1851;16/01/2019;3;S;Raul Fogaça
1852;09/01/2019;2;N;Maria Vitória Cavalcanti
1853;17/01/2019;5;N;Lucas Gabriel da Rosa
1854;21/01/2019;5;N;Luiz Miguel da Rocha
1855;18/01/2019;6;N;Nathan Dias
1856;21/01/2019;6;S;Dr. Benício Santos
1857;21/01/2019;2;S;Ana Júlia Nogueira
1858;24/01/2019;2;N;Fernanda Monteiro
1859;13/01/2019;5;N;Otávio Rodrigues
1860;07/01/2019;6;N;Agatha Fogaça
1861;20/01/2019;2;N;Lívia Cardoso
1862;02/01/2019;6;S;Miguel Barros
1863;22/01/2019;4;S;Davi da Mota
1864;21/01/2019;5;N;Vitória Mendes
1865;18/01/2019;5;S;Dr. Lucas Costela
1866;18/01/2019;3;S;Thiago Teixeira
1867;03/01/2019;4;S;Maitê da Mata
1868;15/01/2019;2;S;Nicolas Sales
1869;12/01/2019;6;N;Lucas Viana
1870;22/01/2019;3;S;Raquel Teixeira
1871;26/01/2019;1;S;Lucas Gabriel Farias
1872;12/01/2019;6;N;Valentina Cardoso
1873;27/01/2019;5;N;Yasmin Peixoto
1874;31/01/2019;4;N;Luiz Gustavo da Luz
1875;28/01/2019;5;N;Julia da Conceição
1876;30/01/2019;3;S;Pedro Castro
1877;27/01/2019;5;N;Lívia Cavalcanti
1878;08/01/2019;3;N;Ian Teixeira
1879;29/01/2019;6;N;Dra. Emanuella Correia
1880;15/01/2019;6;N;Rafaela Cardoso
1881;29/01/2019;3;S;Sophia Ribeiro
1882;23/01/2019;6;N;Luiz Otávio Castro
1883;13/01/2019;3;S;Samuel Lopes
1884;18/01/2019;2;N;Enzo Nogueira
1885;02/01/2019;2;S;Cauê Moreira
1886;16/01/2019;3;S;Dra. Juliana Gonçalves
1887;10/01/2019;3;S;Luiz Felipe da Mota
1888;14/01/2019;6;N;Isaac Novaes
1889;16/01/2019;4;S;Benício Oliveira
1890;19/01/2019;2;S;Clarice da Luz
1891;18/01/2019;1;N;Ana Lívia Nogueira
1892;31/01/2019;4;N;Rebeca Caldeira
1893;06/01/2019;2;S;Juliana Gomes
1894;19/01/2019;2;S;Breno Melo
1895;07/01/2019;2;S;Rebeca Vieira
1896;15/01/2019;1;S;Maysa Rodrigues
1897;04/01/2019;5;N;Laís Ferreira
1898;23/01/2019;4;S;Fernanda Moraes
1899;23/01/2019;6;N;João Lucas Melo
1900;19/01/2019;1;N;Marcela Moura
1901;22/01/2019;4;N;Dra. Emanuelly Carvalho
1902;13/01/2019;2;N;Bianca Nogueira
1903;29/01/2019;1;N;Sarah Souza
1904;22/01/2019;5;N;Felipe Jesus
1905;24/01/2019;3;N;Dr. Nicolas da Rosa
1906;03/01/2019;4;S;Júlia Duarte
1907;03/01/2019;1;N;Letícia da Cruz
1908;17/01/2019;4;N;Sabrina Dias
1909;18/01/2019;4;S;Marina Pinto
1910;17/01/2019;2;N;Letícia Cardoso
1911;05/01/2019;1;N;Maria Fernanda Ribeiro
1912;02/01/2019;6;N;Nicole Nogueira
1913;23/01/2019;6;N;André Gomes
1914;05/01/2019;4;N;Brenda Pereira
1915;21/01/2019;1;N;Kaique Ferreira
1916;19/01/2019;2;N;Pedro Miguel Sales
1917;14/01/2019;3;N;Luigi Pires
1918;08/01/2019;4;S;Ana Vitória da Luz
1919;16/01/2019;5;N;Stella das Neves
1920;13/01/2019;3;N;Amanda Pinto
1921;13/01/2019;6;N;Samuel Gonçalves
1922;14/01/2019;2;S;Pedro Lucas Araújo
1923;01/01/2019;1;N;Lorena Teixeira
1924;03/01/2019;6;N;Dra. Fernanda da Cunha
1925;18/01/2019;1;N;Gabrielly Cunha
1926;18/01/2019;3;S;Dra. Lorena Alves
1927;25/01/2019;3;N;Raul Lima
1928;12/01/2019;6;S;Ana Julia Novaes
