MAT_ALU;NOME;DAT_ENTRADA;COD_CURSO;COTISTA
1317;Dr. Pedro Miguel da Rosa;11/01/19;4;N
1318;Luigi Pires;06/01/19;4;N
1319;Luigi Santos;06/01/19;6;N
1320;Maitê Novaes;18/01/19;5;N
1321;Davi Lucas Nascimento;30/01/19;6;N
1322;Alexandre Nascimento;28/01/19;1;N
1323;Ana Beatriz Teixeira;15/01/19;6;N
1324;Luigi Ribeiro;11/01/19;5;N
1325;João Miguel Caldeira;31/01/19;6;N
1326;Marcela Novaes;24/01/19;1;N
1327;Gabrielly Araújo;24/01/19;1;N
1328;Marcos Vinicius Souza;11/01/19;6;S
1329;Anthony Lima;24/01/19;6;N
1330;Rafael da Rosa;12/01/19;2;N
1331;Paulo da Cruz;21/01/19;2;N
1332;Alexia Cardoso;18/01/19;4;S
1333;Maitê Nascimento;15/01/19;2;S
1334;Nicole Silveira;31/01/19;5;S
1335;Sofia Ramos;24/01/19;2;S
1336;Luiz Felipe Novaes;02/01/19;3;N
1337;Larissa Vieira;15/01/19;3;N
1338;Amanda Martins;10/01/19;5;N
1339;Noah Monteiro;30/01/19;4;S
1340;Valentina da Mata;24/01/19;6;S
1341;Luiz Fernando Souza;26/01/19;4;N
1342;Elisa Peixoto;30/01/19;6;S
1343;Nicole Aragão;26/01/19;4;S
1344;Maysa da Cunha;04/01/19;2;N
1345;Yuri da Conceição;11/01/19;1;S
1346;Diego das Neves;03/01/19;4;S
1347;Gustavo Henrique Duarte;24/01/19;4;S
1348;Miguel Martins;15/01/19;5;S
1349;Otávio Gonçalves;16/01/19;6;S
1350;João Guilherme Ferreira;14/01/19;2;N
1351;Luiz Otávio Novaes;13/01/19;6;S
1352;Maria Fernanda Oliveira;04/01/19;4;S
1353;Enrico da Cruz;25/01/19;5;N
1354;Eloah Moura;03/01/19;4;N
1355;Murilo Campos;15/01/19;4;S
1356;Emanuel Barbosa;10/01/19;5;N
1357;Luiz Gustavo Campos;18/01/19;1;S
1358;Enzo Gabriel Ribeiro;03/01/19;5;N
1359;Ana Vitória Rocha;15/01/19;2;S
1360;João Lucas Souza;07/01/19;1;N
1361;João Felipe Moraes;23/01/19;3;N
1362;Alana Melo;02/01/19;4;S
1363;Agatha Martins;18/01/19;1;N
1364;Samuel Teixeira;07/01/19;1;N
1365;Leonardo Rezende;25/01/19;5;N
1366;Rebeca Nunes;31/01/19;4;S
1367;Lavínia Souza;03/01/19;4;S
1368;Mariana Barros;28/01/19;2;S
1369;Ana Lívia Teixeira;29/01/19;3;N
1370;Kevin Rodrigues;05/01/19;5;N
1371;Amanda da Luz;14/01/19;6;N
1372;Alice Moreira;12/01/19;6;S
1373;Bianca Farias;19/01/19;2;S
1374;Davi Lima;04/01/19;6;N
1375;Pedro Miguel Gomes;27/01/19;1;N
1376;Pedro Teixeira;08/01/19;4;S
1377;Diego Sales;09/01/19;3;S
1378;Catarina Rodrigues;04/01/19;6;S
1379;Eduarda Moura;16/01/19;4;N
1380;Dra. Raquel Gonçalves;14/01/19;1;N
1381;Miguel da Luz;04/01/19;3;S
1382;Esther Rezende;23/01/19;5;S
1383;Arthur Viana;21/01/19;6;N
1384;Daniela Martins;01/01/19;6;S
1385;Thomas Silveira;17/01/19;1;S
1386;Dra. Maria Alice da Paz;03/01/19;5;S
1387;Yago Mendes;19/01/19;5;N
1388;Kaique Moreira;19/01/19;4;S
1389;Luiz Miguel da Costa;10/01/19;5;N
1390;Gabrielly Moura;09/01/19;6;S
1391;Diogo da Paz;17/01/19;6;N
1392;Clarice Rezende;12/01/19;3;S
1393;Gabrielly da Costa;14/01/19;3;N
1394;Dra. Joana da Cunha;15/01/19;1;S
1395;Nathan Novaes;08/01/19;3;S
1396;Vitor Moraes;04/01/19;5;N
1397;Mirella Costa;24/01/19;4;N
1398;Vitória Costa;04/01/19;5;S
1399;Gabriela Pinto;24/01/19;1;S
1400;Beatriz da Cruz;23/01/19;3;N
1401;Elisa Monteiro;26/01/19;3;S
1402;Júlia Farias;19/01/19;6;N
1403;João Felipe Mendes;28/01/19;5;S
1404;Vitor Sales;30/01/19;4;S
1405;Dr. João Moraes;09/01/19;2;S
1406;João Vitor Carvalho;03/01/19;5;N
1407;Juan da Rocha;21/01/19;1;S
1408;João Guilherme Dias;11/01/19;5;N
1409;Brenda Aragão;17/01/19;3;N
1410;Luiz Felipe Nascimento;09/01/19;3;N
1411;Ana Beatriz Vieira;01/01/19;3;N
1412;Vicente Cardoso;19/01/19;2;S
1413;Maria Alves;27/01/19;4;N
1414;Enzo Gabriel Gomes;11/01/19;6;S
1415;Isabella Pereira;19/01/19;5;N
1416;Luigi Carvalho;06/01/19;2;N
1417;Dr. Alexandre Cardoso;18/01/19;1;S
1418;Luana Cardoso;05/01/19;2;S
1419;Dra. Marina Oliveira;10/01/19;6;N
1420;Emanuelly Novaes;31/01/19;4;N
1421;Rebeca Costa;13/01/19;2;S
1422;Mirella Nogueira;21/01/19;6;N
1423;Felipe Gonçalves;04/01/19;6;N
1424;Bryan Nogueira;22/01/19;3;N
1425;Eduardo Cunha;17/01/19;6;N
1426;Dr. Lucca da Rosa;28/01/19;6;S
1427;Luiza Ferreira;09/01/19;3;S
1428;Otávio Ferreira;30/01/19;6;N
1429;Ana Melo;25/01/19;6;N
1430;Marina Rodrigues;31/01/19;4;N
1431;Isadora Santos;06/01/19;4;S
1432;Letícia Rocha;07/01/19;1;S
1433;Luiz Otávio Araújo;27/01/19;4;S
1434;Caroline Castro;21/01/19;2;N
1435;Heloísa Araújo;09/01/19;1;S
1436;Caio Viana;24/01/19;1;N
1437;Mariana Nascimento;06/01/19;6;S
1438;Bruna Costa;09/01/19;1;N
1439;Benjamin Carvalho;07/01/19;3;N
1440;Cauã da Rosa;30/01/19;4;S
1441;Ana Vitória Barros;08/01/19;1;S
1442;Augusto Novaes;17/01/19;2;N
1443;Luiza da Mata;08/01/19;5;N
1444;Dra. Lavínia Costa;31/01/19;4;S
1445;Matheus Barros;13/01/19;3;N
1446;Dra. Maria Julia Barros;05/01/19;3;N
1447;Danilo Oliveira;04/01/19;1;N
1448;Ana Carolina Alves;12/01/19;5;N
1449;Alexia Martins;10/01/19;4;S
1450;Maria Clara Silva;19/01/19;2;S
1451;Caio Moura;13/01/19;1;S
1452;Luigi Caldeira;24/01/19;3;N
1453;Cecília Dias;03/01/19;3;S
1454;Miguel Castro;07/01/19;1;N
1455;Thiago Rocha;21/01/19;2;S
1456;Luna Oliveira;26/01/19;3;S
1457;Esther Santos;26/01/19;6;S
1458;Dra. Mariana Almeida;07/01/19;1;S
1459;Dra. Joana da Luz;30/01/19;6;S
1460;Dra. Maria Cecília Teixeira;10/01/19;3;S
1461;Dr. Alexandre Campos;19/01/19;4;S
1462;Murilo Lopes;30/01/19;4;N
1463;Alícia Teixeira;31/01/19;6;N
1464;Dra. Maria Sophia Cunha;04/01/19;4;N
1465;Henrique Ribeiro;13/01/19;4;S
1466;Enzo Ramos;25/01/19;3;N
1467;Ana Julia Fogaça;25/01/19;2;N
1468;Luiz Henrique Souza;11/01/19;4;N
1469;Natália Nogueira;24/01/19;5;N
1470;Caroline da Costa;26/01/19;3;S
1471;Stella Fogaça;22/01/19;5;S
1472;Ana Vitória da Luz;20/01/19;4;S
1473;Dra. Lívia Carvalho;15/01/19;1;S
1474;Paulo Jesus;25/01/19;6;S
1475;Ana Júlia da Cunha;04/01/19;3;N
1476;Heitor Jesus;15/01/19;2;N
1477;Antônio da Rocha;16/01/19;3;N
1478;Felipe Nascimento;19/01/19;1;S
1479;Giovanna da Paz;23/01/19;1;S
1480;Breno Moura;15/01/19;4;N
1481;Sophie Monteiro;30/01/19;5;N
1482;Laís Sales;31/01/19;1;S
1483;Davi Lucas Pinto;03/01/19;2;S
1484;Luna Nunes;16/01/19;2;S
1485;Maria Sophia Fogaça;25/01/19;2;S
1486;Dr. Leonardo da Paz;01/01/19;4;N
1487;Vitor Hugo da Cruz;19/01/19;2;N
1488;Enzo Gabriel Gonçalves;11/01/19;5;N
1489;Bianca Silveira;01/01/19;1;N
1490;Leonardo Duarte;28/01/19;1;S
1491;Olivia Peixoto;03/01/19;5;N
1492;Leonardo Farias;22/01/19;2;N
1493;Juliana Nunes;13/01/19;4;S
1494;Isis da Cruz;19/01/19;3;S
1495;Maria Cecília Fogaça;15/01/19;5;S
1496;Marina Moreira;21/01/19;4;N
1497;Luna Rodrigues;27/01/19;3;N
1498;Yago Correia;23/01/19;2;N
1499;João Gabriel Nogueira;25/01/19;4;S
1500;Raul Moreira;01/01/19;4;S
1501;Davi Lucca Pinto;10/01/19;5;N
1502;Dr. Eduardo Ribeiro;16/01/19;1;S
1503;Joana Novaes;25/01/19;3;N
1504;Joana Cardoso;27/01/19;2;S
1505;Nina da Mata;13/01/19;2;N
1506;Bryan Sales;07/01/19;2;N
1507;Breno da Costa;04/01/19;5;S
1508;Gabrielly da Cruz;01/01/19;1;S
1509;Giovanna Lopes;20/01/19;1;N
1510;Luiz Felipe Vieira;02/01/19;6;N
1511;Henrique Caldeira;29/01/19;5;S
1512;Dr. Isaac Rodrigues;29/01/19;6;S
1513;Kaique Cardoso;10/01/19;3;N
1514;Maria Julia Pereira;07/01/19;2;N
1515;Valentina Porto;20/01/19;1;S
1516;Calebe da Paz;21/01/19;3;S
1517;Bruno da Rocha;27/01/19;1;N
1518;Alícia Gonçalves;17/01/19;4;S
1519;Leandro Melo;30/01/19;3;N
1520;Maria Clara Jesus;23/01/19;6;S
1521;Cauê Costa;02/01/19;3;N
1522;Alexia Moraes;03/01/19;6;N
1523;Lucas Gabriel Dias;30/01/19;5;S
1524;Rebeca Campos;08/01/19;6;S
1525;Caroline Ramos;06/01/19;6;S
1526;Gabriel Castro;08/01/19;4;S
1527;Dr. Leonardo Correia;28/01/19;1;S
1528;Dra. Ana Clara Lopes;04/01/19;3;N
1529;Maria Alice Rocha;17/01/19;3;N
1530;Vitor Hugo Aragão;29/01/19;4;S
1531;Kevin Pires;14/01/19;2;N
1532;Breno Barros;09/01/19;6;N
1533;João Miguel Ribeiro;10/01/19;6;S
1534;Stephany Oliveira;20/01/19;1;N
1535;Rafael Almeida;04/01/19;3;S
1536;Bárbara Monteiro;04/01/19;3;N
1537;Ian Porto;28/01/19;3;S
1538;Pietro Souza;16/01/19;2;N
1539;Maria Clara Ferreira;11/01/19;2;N
1540;Pedro da Luz;04/01/19;3;N
1541;Emilly Gonçalves;31/01/19;4;S
1542;Amanda Dias;29/01/19;4;S
1543;Henrique Novaes;30/01/19;3;N
1544;Stella Pereira;04/01/19;6;S
1545;Julia Almeida;03/01/19;6;N
1546;Yuri Cunha;31/01/19;5;N
1547;Catarina Sales;06/01/19;4;N
1548;Esther Rocha;14/01/19;4;S
1549;Marcos Vinicius Monteiro;17/01/19;5;S
1550;Thales Moreira;18/01/19;4;N
1551;Vicente Cunha;14/01/19;1;N
1552;João Guilherme das Neves;09/01/19;1;N
1553;Catarina da Paz;20/01/19;2;S
1554;Larissa Gonçalves;22/01/19;5;N
1555;Bernardo da Paz;08/01/19;6;S
1556;Dra. Beatriz Moraes;07/01/19;6;S
1557;Alexia Castro;03/01/19;4;S
1558;Renan Rezende;30/01/19;1;N
1559;Vitor Campos;31/01/19;1;N
1560;Mariane Nunes;09/01/19;5;S
1561;Isis da Luz;28/01/19;5;S
1562;Manuela Silva;23/01/19;5;N
1563;Gabrielly Fernandes;13/01/19;4;N
1564;Evelyn Souza;25/01/19;2;N
1565;João Lucas Cunha;23/01/19;2;N
1566;Emanuelly Gomes;22/01/19;5;S
1567;Benício da Cunha;02/01/19;1;N
1568;Eloah Pereira;25/01/19;2;N
1569;Dr. Enrico Barros;11/01/19;6;N
1570;Alana das Neves;26/01/19;5;S
1571;Rafael Souza;27/01/19;1;S
1572;João Felipe Ramos;05/01/19;6;N
1573;Henrique Cavalcanti;23/01/19;1;N
1574;Dra. Bianca Lopes;19/01/19;1;N
1575;Brenda Porto;05/01/19;5;N
1576;Sofia Monteiro;06/01/19;1;N
1577;Breno Mendes;02/01/19;3;S
1578;Thiago Santos;06/01/19;2;S
1579;Isabelly Moraes;03/01/19;3;S
1580;Dr. Thales Lopes;31/01/19;2;N
1581;Raul Melo;11/01/19;5;N
1582;Larissa Freitas;12/01/19;1;N
1583;Isabelly Ferreira;01/01/19;4;N
1584;Bruno Novaes;12/01/19;1;S
1585;Ana Lívia Cunha;24/01/19;4;N
1586;Leandro Moreira;18/01/19;4;N
1587;Eduarda Melo;22/01/19;3;N
1588;Yasmin Barbosa;30/01/19;5;N
1589;Raul da Luz;23/01/19;6;S
1590;Otávio Cavalcanti;22/01/19;1;S
1591;Thomas Oliveira;07/01/19;4;S
1592;Alana da Paz;31/01/19;4;N
1593;Maria Clara Cavalcanti;30/01/19;3;N
1594;Maria Sophia Campos;03/01/19;1;S
1595;Luiza Martins;04/01/19;4;S
1596;Eduarda Barbosa;10/01/19;5;S
1597;Pietra Fernandes;16/01/19;4;S
1598;Marcos Vinicius Cunha;22/01/19;4;S
1599;Ana Sophia da Cruz;16/01/19;6;S
1600;Carolina Pires;07/01/19;6;S
1601;Isaac Moraes;14/01/19;3;N
1602;Maria Alice Silva;21/01/19;6;N
1603;Eduarda Souza;20/01/19;3;S
1604;Caroline da Rocha;19/01/19;2;N
1605;Emilly Barros;24/01/19;1;N
1606;Davi Pinto;22/01/19;5;N
1607;Letícia Oliveira;25/01/19;4;N
1608;Emanuelly Lopes;02/01/19;6;N
1609;Melissa Monteiro;12/01/19;3;S
1610;Enrico Pinto;30/01/19;5;N
1611;Ana Pires;14/01/19;3;N
1612;Camila Martins;24/01/19;6;N
1613;Pedro Gomes;21/01/19;6;N
1614;Elisa Correia;22/01/19;2;N
1615;Ana Carolina da Luz;12/01/19;1;S
1616;Camila Gomes;11/01/19;4;N
1617;Cauê Rocha;05/01/19;3;N
1618;Eloah Nogueira;25/01/19;3;S
1619;Raul Farias;07/01/19;1;S
1620;Alexandre Cardoso;05/01/19;4;S
1621;Luana Rodrigues;02/01/19;6;S
1622;João Guilherme Costa;19/01/19;5;S
1623;Luna Rezende;20/01/19;2;S
1624;Samuel da Mota;10/01/19;6;S
1625;Davi Luiz Sales;16/01/19;3;S
1626;Valentina Dias;10/01/19;4;S
1627;Melissa Cardoso;18/01/19;1;S
1628;Levi Silveira;28/01/19;6;S
1629;Murilo Jesus;04/01/19;5;N
1630;Elisa Melo;08/01/19;2;N
1631;Dra. Catarina da Cunha;31/01/19;3;N
1632;Cauê Rodrigues;13/01/19;5;S
1633;Marina Fernandes;31/01/19;3;S
1634;Isaac Pinto;14/01/19;6;S
1635;Carolina Oliveira;22/01/19;2;S
1636;Thiago Pereira;02/01/19;2;N
1637;Beatriz Silva;04/01/19;5;S
1638;Anthony da Paz;02/01/19;6;S
1639;Maria Sophia Sales;13/01/19;3;N
1640;Evelyn Gomes;26/01/19;2;S
1641;Milena Melo;22/01/19;5;N
1642;Bernardo Sales;06/01/19;1;S
1643;Valentina Freitas;11/01/19;6;S
1644;Anthony Ferreira;28/01/19;3;N
1645;Joaquim Rezende;12/01/19;1;S
1646;Rafael Souza;13/01/19;4;S
1647;Ana Luiza Porto;11/01/19;4;S
1648;Catarina Rocha;18/01/19;1;S
1649;Igor da Mota;17/01/19;3;S
1650;Thiago Nogueira;08/01/19;1;N
1651;Levi Campos;28/01/19;2;N
1652;Anthony Ribeiro;14/01/19;5;S
1653;Vitória Cardoso;20/01/19;2;N
1654;Vitor Gabriel Nascimento;05/01/19;6;S
1655;Henrique Vieira;27/01/19;6;N
1656;Lucas Ramos;09/01/19;4;S
1657;Rafaela Teixeira;29/01/19;6;N
1658;Enrico Cunha;11/01/19;3;N
1659;Julia Freitas;22/01/19;5;S
1660;Ana Sophia Azevedo;06/01/19;3;N
1661;Francisco Azevedo;06/01/19;1;S
1662;Maria Eduarda Melo;16/01/19;1;N
1663;Matheus da Luz;11/01/19;5;S
1664;Lucca da Luz;01/01/19;5;S
1665;Vitor Gabriel Campos;23/01/19;4;N
1666;Lucca Dias;30/01/19;1;N
1667;Vicente da Rosa;24/01/19;5;N
1668;Bernardo Caldeira;09/01/19;1;N
1669;Gabriela Souza;14/01/19;1;S
1670;Clarice Vieira;10/01/19;2;N
1671;Dra. Yasmin Dias;30/01/19;1;N
1672;Dr. Rafael Aragão;03/01/19;2;S
1673;Yago da Paz;08/01/19;4;S
1674;Diego da Cunha;27/01/19;1;S
1675;Bryan Novaes;29/01/19;3;S
1676;Gabriel Silva;20/01/19;4;S
1677;João Gabriel Ribeiro;06/01/19;3;S
1678;Pedro Henrique Ferreira;02/01/19;2;N
1679;Emanuella da Paz;13/01/19;1;N
1680;Ana Luiza da Rosa;24/01/19;3;S
1681;Maitê Moura;20/01/19;1;S
1682;Ana Vitória Lima;16/01/19;5;N
1683;Miguel Nascimento;09/01/19;3;S
1684;Davi Vieira;03/01/19;6;S
1685;Calebe Caldeira;17/01/19;1;S
1686;Isabella Porto;10/01/19;3;N
1687;Maria Alice Campos;06/01/19;3;N
1688;Ana Lívia da Cruz;16/01/19;2;N
1689;Leonardo Lima;15/01/19;6;N
1690;Ana Clara Martins;12/01/19;5;N
1691;Isis Rezende;11/01/19;6;S
1692;Benjamin da Paz;31/01/19;4;S
1693;Matheus Nunes;15/01/19;6;N
1694;Alana Pinto;21/01/19;3;S
1695;Dra. Sabrina Jesus;20/01/19;3;S
1696;Dr. Thales Azevedo;19/01/19;5;N
1697;Heloísa Azevedo;02/01/19;3;N
1698;Antônio Nunes;30/01/19;2;N
1699;Ana Clara Almeida;08/01/19;2;N
1700;Isabella Porto;03/01/19;3;S
1701;Ana Clara Fogaça;24/01/19;3;N
1702;Samuel da Costa;07/01/19;2;S
1703;Lucas Gabriel Moura;09/01/19;3;N
1704;Maria Vitória Alves;22/01/19;5;S
1705;Julia da Costa;21/01/19;5;N
3218;Cauê Rocha;13/01/19;5;S
3219;Enzo Gabriel Azevedo;13/01/19;4;S
3220;Ana Laura Melo;03/01/19;5;S
3221;Leonardo da Rocha;02/01/19;4;S
3222;Calebe Pinto;16/01/19;6;N
3223;Mariana da Costa;05/01/19;4;N
3224;Maria Alice Azevedo;28/01/19;6;S
3225;Levi Peixoto;02/01/19;5;N
3226;Maria Vitória Sales;03/01/19;6;S
3227;Clarice da Conceição;31/01/19;4;N
3228;Lorenzo Campos;09/01/19;2;N
3229;Dra. Ana Sophia Peixoto;24/01/19;5;N
3230;Maria Luiza Freitas;07/01/19;3;N
3231;Catarina Peixoto;06/01/19;2;S
3232;Dra. Laís Lima;31/01/19;6;S
3233;Dr. Henrique Fernandes;31/01/19;6;S
3234;João Vitor Pereira;09/01/19;3;S
3235;Daniela Oliveira;10/01/19;4;S
3236;Dr. Noah Teixeira;25/01/19;2;S
3237;Paulo Barbosa;19/01/19;1;N
3238;Kevin Mendes;05/01/19;4;N
3239;Fernando Cardoso;07/01/19;5;N
3240;Ana Julia Rocha;08/01/19;5;N
3241;Ana Peixoto;01/01/19;2;N
3242;Luiz Fernando Pereira;21/01/19;6;N
3243;Bárbara da Luz;09/01/19;6;N
3244;Marcos Vinicius Nascimento;06/01/19;6;N
3245;Clara Alves;01/01/19;1;S
3246;Luiz Felipe Almeida;14/01/19;5;N
3247;Maria Sophia da Cunha;30/01/19;2;S
3248;João Felipe Gonçalves;16/01/19;6;N
3249;Heloísa Azevedo;23/01/19;6;N
3250;Dra. Mirella das Neves;12/01/19;6;N
3251;Juan Farias;16/01/19;5;N
3252;André da Mota;30/01/19;4;S
3253;Isis Rocha;25/01/19;5;S
3254;Lorena da Luz;26/01/19;1;S
3255;Maria Clara Cardoso;24/01/19;3;S
3256;Eduardo Viana;15/01/19;2;N
3257;João Guilherme Araújo;12/01/19;3;N
3258;Luigi Moura;21/01/19;5;S
3259;Isis da Rocha;14/01/19;4;S
3260;Gabriela Moraes;19/01/19;1;S
3261;Laís Campos;12/01/19;3;S
3262;Lorenzo Rodrigues;07/01/19;1;S
3263;Otávio Moreira;01/01/19;2;N
3264;Benício Moraes;08/01/19;5;S
3265;Luiz Miguel Porto;31/01/19;5;S
3266;Lucas Gabriel Nunes;03/01/19;1;N
3267;Laís Pereira;14/01/19;6;N
3268;Bryan da Mata;06/01/19;1;N
3269;Mirella da Paz;22/01/19;4;S
3270;Luiz Otávio Almeida;21/01/19;6;S
3271;Lucca Fernandes;24/01/19;2;S
3272;Henrique Cunha;26/01/19;5;S
3273;Marcos Vinicius Cardoso;09/01/19;3;N
3274;Enrico Duarte;01/01/19;2;S
3275;Maria Vitória da Paz;11/01/19;2;N
3276;Raquel Nogueira;14/01/19;5;S
3277;Luna Silva;12/01/19;2;N
3278;Bruno Campos;16/01/19;3;S
3279;Elisa Duarte;04/01/19;6;N
3280;João Gabriel Costela;19/01/19;4;S
3281;Diego Teixeira;31/01/19;2;S
3282;Anthony Rezende;06/01/19;3;S
3283;Bernardo Lopes;18/01/19;3;N
3284;Maria Julia Rezende;27/01/19;3;N
3285;Luiza Nunes;30/01/19;2;N
3286;Felipe Nascimento;16/01/19;6;N
3287;Lorenzo Martins;30/01/19;5;N
3288;Maria Cecília Cardoso;15/01/19;2;N
3289;Amanda Dias;22/01/19;6;N
3290;Sabrina Silva;06/01/19;2;N
3291;Davi Lucas Carvalho;23/01/19;6;S
3292;Manuela Martins;21/01/19;3;S
3293;Raul Nascimento;17/01/19;5;N
3294;Sophia Viana;08/01/19;6;S
3295;Luiz Gustavo da Cunha;10/01/19;3;N
3296;Dr. Felipe Santos;27/01/19;1;S
3297;Bryan da Luz;19/01/19;1;N
3298;Cecília Melo;11/01/19;6;S
3299;Carlos Eduardo Souza;21/01/19;3;S
3300;Natália Rocha;24/01/19;5;N
3301;Heitor Porto;30/01/19;2;N
3302;Thales Teixeira;02/01/19;1;N
3303;Amanda Lima;10/01/19;6;S
3304;Theo Barros;01/01/19;3;S
3305;Emanuella Silveira;31/01/19;3;S
3306;Ana Laura Silva;04/01/19;1;S
3307;Danilo da Paz;29/01/19;2;S
3308;Maria Luiza Cardoso;20/01/19;4;N
3309;Melissa Fernandes;17/01/19;5;S
3310;Laura Alves;21/01/19;6;N
3311;Isabella Ramos;02/01/19;4;S
3312;Marcos Vinicius Silva;19/01/19;6;S
3313;Ana Laura Azevedo;03/01/19;5;N
3314;Sophia Cardoso;22/01/19;1;S
3315;Isadora Oliveira;19/01/19;1;S
3316;Stephany Lopes;18/01/19;5;N
3317;Carolina Campos;19/01/19;6;N
3318;Levi Silva;21/01/19;4;S
3319;Emanuella Pereira;29/01/19;6;S
3320;Melissa Carvalho;14/01/19;3;S
3321;Maria Eduarda Correia;31/01/19;6;N
3322;Ana Gomes;23/01/19;2;S
3323;Lucca Duarte;16/01/19;6;S
3324;Igor da Conceição;18/01/19;3;N
3325;Pedro Henrique Alves;15/01/19;6;S
3326;Antônio Pinto;05/01/19;4;N
3327;Ana Lívia Almeida;30/01/19;4;N
3328;Maria Clara da Cunha;09/01/19;4;S
3329;Cecília Alves;28/01/19;5;N
3330;Caio Costela;25/01/19;4;N
3331;Ian Gonçalves;14/01/19;6;N
3332;Kevin Pires;25/01/19;1;S
3333;Henrique Araújo;12/01/19;4;S
3334;Daniel Farias;18/01/19;5;S
3335;Lara da Rocha;17/01/19;5;S
3336;Dra. Ana Júlia Lima;03/01/19;2;S
3337;Thomas Fogaça;26/01/19;1;S
3338;Rebeca Cunha;30/01/19;3;S
3339;Lívia Rezende;14/01/19;6;N
3340;Mirella Alves;06/01/19;3;S
3341;Luiz Otávio Cunha;19/01/19;5;N
3342;Paulo Gomes;07/01/19;4;N
3343;Gabrielly Duarte;19/01/19;3;S
3344;Gabriela Barros;04/01/19;1;N
3345;Evelyn Teixeira;18/01/19;2;N
3346;Maria Vitória Cardoso;09/01/19;6;N
3347;Luna Pires;26/01/19;2;N
3348;Bárbara Moraes;20/01/19;1;S
3349;Thales Peixoto;19/01/19;2;S
3350;Elisa Ferreira;15/01/19;6;S
3351;Stephany Porto;06/01/19;3;N
3352;Maria Cecília Alves;21/01/19;4;S
3353;Juliana Jesus;26/01/19;1;S
3354;Maria Luiza Barbosa;05/01/19;5;S
3355;Erick Alves;12/01/19;6;S
3356;Clarice Lopes;11/01/19;5;N
3357;Davi Costela;28/01/19;6;S
3358;Agatha Viana;09/01/19;2;S
3359;Isaac Rocha;28/01/19;4;N
3360;Nina Pinto;16/01/19;3;S
3361;Juliana da Mota;31/01/19;3;S
3362;Rebeca Pereira;11/01/19;3;N
3363;Davi Lucas Santos;30/01/19;1;S
3364;Rodrigo da Costa;05/01/19;3;S
3365;Evelyn Souza;07/01/19;3;S
3366;Maria Lopes;29/01/19;4;N
3367;Mirella Martins;22/01/19;4;S
3368;Pietra Mendes;23/01/19;1;S
3369;Melissa Fernandes;01/01/19;1;S
3370;Vitor Gabriel Barros;13/01/19;6;N
3371;Gustavo Henrique Barros;28/01/19;6;S
3372;Vitor Ribeiro;17/01/19;6;N
3373;Dr. Alexandre Farias;04/01/19;2;S
3374;Ana Clara da Rosa;13/01/19;2;N
3375;João Miguel Caldeira;28/01/19;5;S
3376;Brenda Rodrigues;13/01/19;2;N
3377;Luigi Campos;03/01/19;3;S
3378;Bruna da Mata;11/01/19;6;S
3379;Fernando Fernandes;28/01/19;3;S
3380;Raul Gomes;16/01/19;4;N
3381;Luiz Miguel Azevedo;31/01/19;4;N
3382;Murilo Pereira;21/01/19;4;S
3383;Dra. Marcela Costa;10/01/19;4;N
3384;Maitê Cardoso;15/01/19;5;S
3385;Milena Rodrigues;09/01/19;3;S
3386;Caroline Barbosa;04/01/19;4;N
3387;Sophie Castro;10/01/19;2;N
3388;João Felipe Cardoso;05/01/19;3;S
3389;Julia da Costa;02/01/19;5;S
3390;Luiz Miguel Araújo;17/01/19;4;S
3391;Nicole Aragão;17/01/19;2;S
3392;Dr. Thales Cunha;10/01/19;4;N
3393;Marcos Vinicius Carvalho;28/01/19;3;N
3394;Nina da Cruz;08/01/19;1;S
3395;Antônio Rocha;25/01/19;3;N
3396;Daniel Carvalho;28/01/19;1;S
3397;Sofia Peixoto;11/01/19;1;S
3398;Murilo Souza;10/01/19;2;S
3399;Emilly da Mota;19/01/19;5;N
3400;João Miguel Moreira;31/01/19;3;N
3401;Otávio Araújo;28/01/19;5;N
3402;Enzo Martins;09/01/19;1;N
3403;Guilherme Monteiro;03/01/19;3;N
3404;Mariana Nascimento;18/01/19;3;N
3405;Yasmin Dias;11/01/19;1;S
3406;Miguel Melo;03/01/19;3;S
3407;Vinicius Ferreira;14/01/19;5;N
3408;Valentina Sales;01/01/19;3;N
3409;Renan Oliveira;03/01/19;6;S
3410;Elisa da Rocha;27/01/19;3;S
3411;Beatriz Fogaça;28/01/19;1;S
3412;Bárbara Barros;06/01/19;4;S
3413;Júlia Gonçalves;31/01/19;5;N
3414;Kamilly Gonçalves;18/01/19;4;N
3415;Dr. Luiz Henrique Cavalcanti;29/01/19;6;S
3416;Dr. Lucca Moura;18/01/19;6;S
3417;Fernando Cavalcanti;13/01/19;3;S
3418;Cauã Oliveira;01/01/19;3;N
3419;Ana Júlia Rodrigues;18/01/19;5;N
3420;Rodrigo Pires;15/01/19;2;S
3421;Isabelly Fogaça;18/01/19;3;N
3422;Ian Novaes;30/01/19;4;N
3423;Luiz Henrique Lopes;12/01/19;4;N
3424;Benjamin Pereira;20/01/19;1;N
3425;Emanuelly Monteiro;16/01/19;1;N
3426;Clara Freitas;27/01/19;4;S
3427;Ana Laura Castro;31/01/19;4;S
3428;André Carvalho;23/01/19;3;S
3429;Murilo Pinto;29/01/19;5;S
3430;Marcela da Cruz;07/01/19;3;S
3431;Alexia da Costa;09/01/19;4;N
3432;Fernando Duarte;20/01/19;1;N
3433;Melissa Gomes;01/01/19;6;S
